Chapter code,chapter name,Group code,Group name,Type code,Type name,Disease code,Disease name
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.3,Foodborne Vibrio parahaemolyticus intoxication
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.4,Foodborne Bacillus cereus intoxication
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.8,Other specified bacterial foodborne intoxications
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified",A05.9,"Bacterial foodborne intoxication, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.0,Acute amoebic dysentery
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.1,Chronic intestinal amoebiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.2,Amoebic nondysenteric colitis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.3,Amoeboma of intestine
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.4,Amoebic liver abscess
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.5,Amoebic lung abscessJ99.8
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.6,Amoebic brain abscessG07
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.7,Cutaneous amoebiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.8,Amoebic infection of other sites
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A06,Amoebiasis,A06.9,"Amoebiasis, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.0,Balantidiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.1,Giardiasis [lambliasis]
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.2,Cryptosporidiosis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.3,Isosporiasis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.8,Other specified protozoal intestinal diseases
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A07,Other protozoal intestinal diseases,A07.9,"Protozoal intestinal disease, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.0,Rotaviral enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.1,Acute gastroenteropathy due to Norwalk agent
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.2,Adenoviral enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.3,Other viral enteritis
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.4,"Viral intestinal infection, unspecified"
I,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A08,Viral and other specified intestinal infections,A08.5,Other specified intestinal infections
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.1,"Tuberculosis of lung, confirmed by culture only"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.2,"Tuberculosis of lung, confirmed histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.3,"Tuberculosis of lung, confirmed by unspecified means"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.0,"Tuberculosis of lung, bacteriologically and histologically negative"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.1,"Tuberculosis of lung, bacteriological and histological examination not done"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,A17.0,Tuberculous meningitisG01
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,A17.1,Meningeal tuberculomaG07
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,A17.8,Other tuberculosis of nervous system
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A17,Tuberculosis of nervous system,A17.9,"Tuberculosis of nervous system, unspecifiedG99.8"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.0,Tuberculosis of bones and joints
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.1,Tuberculosis of genitourinary system
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.2,Tuberculous peripheral lymphadenopathy
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.4,Tuberculosis of skin and subcutaneous tissue
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.5,Tuberculosis of eye
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.6,Tuberculosis of ear
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.7,Tuberculosis of adrenal glandsE35.1
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A18,Tuberculosis of other organs,A18.8,Tuberculosis of other specified organs
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,A19.0,Acute miliary tuberculosis of a single specified site
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,A19.1,Acute miliary tuberculosis of multiple sites
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,A19.2,"Acute miliary tuberculosis, unspecified"
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,A19.8,Other miliary tuberculosis
I,Certain infectious and parasitic diseases,A15-A19,Tuberculosis,A19,Miliary tuberculosis,A19.9,"Miliary tuberculosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,A20.0,Bubonic plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,A20.1,Cellulocutaneous plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,A20.2,Pneumonic plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,A20.3,Plague meningitis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,A20.7,Septicaemic plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,A20.8,Other forms of plague
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A20,Plague,A20.9,"Plague, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,A21.0,Ulceroglandular tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,A21.1,Oculoglandular tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,A21.2,Pulmonary tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,A21.3,Gastrointestinal tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,A21.7,Generalized tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,A21.8,Other forms of tularaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A21,Tularaemia,A21.9,"Tularaemia, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax,A22.0,Cutaneous anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax,A22.1,Pulmonary anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax,A22.2,Gastrointestinal anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax,A22.7,Anthrax septicaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax,A22.8,Other forms of anthrax
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A22,Anthrax,A22.9,"Anthrax, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis,A23.0,Brucellosis due to Brucella melitensis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis,A23.1,Brucellosis due to Brucella abortus
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis,A23.2,Brucellosis due to Brucella suis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis,A23.3,Brucellosis due to Brucella canis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis,A23.8,Other brucellosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A23,Brucellosis,A23.9,"Brucellosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24,Glanders and melioidosis,A24.0,Glanders
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24,Glanders and melioidosis,A24.1,Acute and fulminating melioidosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24,Glanders and melioidosis,A24.2,Subacute and chronic melioidosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24,Glanders and melioidosis,A24.3,Other melioidosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A24,Glanders and melioidosis,A24.4,"Melioidosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25,Rat-bite fevers,A25.0,Spirillosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25,Rat-bite fevers,A25.1,Streptobacillosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A25,Rat-bite fevers,A25.9,"Rat-bite fever, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26,Erysipeloid,A26.0,Cutaneous erysipeloid
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26,Erysipeloid,A26.7,Erysipelothrix septicaemia
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26,Erysipeloid,A26.8,Other forms of erysipeloid
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26,Erysipeloid,A26.9,"Erysipeloid, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27,Leptospirosis,A27.0,Leptospirosis icterohaemorrhagica
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27,Leptospirosis,A27.8,Other forms of leptospirosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27,Leptospirosis,A27.9,"Leptospirosis, unspecified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified",A28.0,Pasteurellosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified",A28.1,Cat-scratch disease
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified",A28.2,Extraintestinal yersiniosis
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified",A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified"
I,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified",A28.9,"Zoonotic bacterial disease, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.0,Indeterminate leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.1,Tuberculoid leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.2,Borderline tuberculoid leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.3,Borderline leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.4,Borderline lepromatous leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.5,Lepromatous leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.8,Other forms of leprosy
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen s disease],A30.9,"Leprosy, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31,Infection due to other mycobacteria,A31.0,Pulmonary mycobacterial infection
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31,Infection due to other mycobacteria,A31.1,Cutaneous mycobacterial infection
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31,Infection due to other mycobacteria,A31.8,Other mycobacterial infections
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31,Infection due to other mycobacteria,A31.9,"Mycobacterial infection, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32,Listeriosis,A32.0,Cutaneous listeriosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32,Listeriosis,A32.1,Listerial meningitis and meningoencephalitis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32,Listeriosis,A32.7,Listerial septicaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32,Listeriosis,A32.8,Other forms of listeriosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32,Listeriosis,A32.9,"Listeriosis, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria,A36.0,Pharyngeal diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria,A36.1,Nasopharyngeal diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria,A36.2,Laryngeal diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria,A36.3,Cutaneous diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria,A36.8,Other diphtheria
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria,A36.9,"Diphtheria, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37,Whooping cough,A37.0,Whooping cough due to Bordetella pertussis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37,Whooping cough,A37.1,Whooping cough due to Bordetella parapertussis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37,Whooping cough,A37.8,Whooping cough due to other Bordetella species
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37,Whooping cough,A37.9,"Whooping cough, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.0,Meningococcal meningitisG01
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.1,Waterhouse-Friderichsen syndromeE35.1
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.2,Acute meningococcaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.3,Chronic meningococcaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.4,"Meningococcaemia, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.5,Meningococcal heart disease
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.8,Other meningococcal infections
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection,A39.9,"Meningococcal infection, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal septicaemia,A40.0,"Septicaemia due to streptococcus, group A"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal septicaemia,A40.1,"Septicaemia due to streptococcus, group B"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal septicaemia,A40.2,"Septicaemia due to streptococcus, group D"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal septicaemia,A40.3,Septicaemia due to Streptococcus pneumoniae
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal septicaemia,A40.8,Other streptococcal septicaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal septicaemia,A40.9,"Streptococcal septicaemia, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.0,Septicaemia due to Staphylococcus aureus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.1,Septicaemia due to other specified staphylococcus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.2,Septicaemia due to unspecified staphylococcus
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.3,Septicaemia due to Haemophilus influenzae
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.4,Septicaemia due to anaerobes
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.5,Septicaemia due to other Gram-negative organisms
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.8,Other specified septicaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other septicaemia,A41.9,"Septicaemia, unspecified"
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis,A42.0,Pulmonary actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis,A42.1,Abdominal actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis,A42.2,Cervicofacial actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis,A42.7,Actinomycotic septicaemia
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis,A42.8,Other forms of actinomycosis
I,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis,A42.9,"Actinomycosis, unspecified"
